onset,end,onset_TR,end_TR,duration,duration_TR,diff_belief_IT,diff_belief_JG,diff_belief_MM,diff_belief_VS,diff_belief_YY,diff_emotion_IT,diff_emotion_JG,diff_emotion_MM,diff_emotion_VS,diff_emotion_YY,diff_intention_IT,diff_intention_JG,diff_intention_MM,diff_intention_VS,diff_intention_YY
633.5,637.2,423.0,425.0,3.7,3.0,2.0,2.0,5.0,3.0,3.0,2.0,2.0,5.0,3.0,1.0,2.0,4.0,5.0,3.0,2.0
637.2,638.8,426.0,426.0,1.6,1.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,1.0,2.0,4.0,5.0,4.0,2.0
638.8,642.6,427.0,428.0,3.8,2.0,5.0,4.0,5.0,3.0,1.0,5.0,3.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,1.0
642.6,644.1,429.0,429.0,1.5,1.0,5.0,4.0,1.0,3.0,1.0,5.0,3.0,4.0,3.0,2.0,5.0,5.0,1.0,4.0,1.0
644.1,650.0,430.0,433.0,5.9,4.0,5.0,5.0,5.0,5.0,3.0,4.0,2.0,3.0,5.0,3.0,3.0,5.0,4.0,4.0,3.0
650.0,651.8,434.0,435.0,1.8,2.0,5.0,5.0,5.0,5.0,1.0,5.0,2.0,3.0,5.0,2.0,5.0,5.0,4.0,4.0,2.0
651.8,656.3,436.0,438.0,4.5,3.0,4.0,5.0,2.0,3.0,1.0,4.0,3.0,2.0,4.0,2.0,4.0,5.0,2.0,3.0,2.0
656.3,661.0,439.0,441.0,4.7,3.0,5.0,4.0,5.0,3.0,1.0,5.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0
661.0,665.5,442.0,444.0,4.5,3.0,5.0,2.0,1.0,3.0,1.0,5.0,1.0,5.0,4.0,3.0,5.0,1.0,1.0,3.0,1.0
665.5,667.3,445.0,445.0,1.8,1.0,5.0,3.0,5.0,3.0,1.0,5.0,2.0,5.0,4.0,3.0,5.0,1.0,2.0,3.0,1.0
667.3,670.2,446.0,447.0,2.9,2.0,5.0,4.0,1.0,3.0,1.0,5.0,2.0,1.0,4.0,3.0,5.0,1.0,1.0,3.0,1.0
670.2,673.5,448.0,449.0,3.3,2.0,5.0,4.0,5.0,3.0,1.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,2.0
673.5,675.0,450.0,450.0,1.5,1.0,5.0,3.0,1.0,3.0,1.0,5.0,4.0,1.0,4.0,5.0,5.0,4.0,1.0,4.0,2.0
