seg,onset_sec,speaker,actor,main_char,section
"And, that's the funny part, that's the hilarious part.",323.1,arthur,,arthur,
"She reads the theatrical page, and she watches television till she's practically blind—so she's an intellectual.",325.3,arthur,,arthur,
You know who I'm married to?,331.2,arthur,,arthur,
"I'm married to the greatest living undeveloped, undiscovered actress, novelist, psychoanalyst, and all-around goddam unappreciated celebrity-genius in New York.",333.6,arthur,,arthur,
"You didn't know that, did you? ",341.9,arthur,,arthur,
"Christ, it's so funny I could cut my throat.""",343.8,arthur,,arthur,
"""In the first place,"" the gray-haired man said, and slowly moved his hand and then caressed a little lock that rested on the girl’s forehand, ",346.2,lee,,lee,
"""for a hell of an intelligent guy, you're about as tactless as it's humanly possible to be.""",354.8,lee,,lee,
"""We're mismated, that's all.",361.5,arthur,,arthur,
That's the whole simple story.,365.6,arthur,,arthur,
We're just mismated as hell. ,367.7,arthur,,arthur,
She doesn't respect me.,370.4,arthur,,arthur,
"She doesn't even love me, for God's sake. ",371.7,arthur,,arthur,
"She bought me a suit once,",373.7,arthur,,arthur,
with her own money.,375.5,arthur,,arthur,
"I tell you about that?""",377.2,arthur,,arthur,
"""No, I—"" The gray-haired man listened another moment.",378.5,lee,,lee,
"Then, abruptly, he turned toward the girl. ",381.8,narrator,"lee, girl",lee,
"The look he gave her, though only glancing, fully informed her what was suddenly going on at the other end of the phone. ",384.4,narrator,"lee, girl",lee,
"""Now, Arthur, listen. I say this in all sincerity. Will you get undressed and get in bed, like a good guy? And relax? ",390.7,lee,,lee,
"Joanie will probably be there in about two minutes.""",399.8,lee,,lee,
"He listened. ""Arthur? You hear me?""",403.4,lee,,lee,
"""Yeah. I hear you.",407.6,arthur,,arthur,
Listen. I've kept you awake all night anyway.,411,arthur,,arthur,
Could I come over to your place for a drink?,415,arthur,,arthur,
"Would you mind?""",417.9,arthur,,arthur,
"The gray-haired man straightened his back and placed the flat of his free hand on the top of his head, and said, ",418.8,narrator,lee,lee,
"""Now, do you mean?""",425.6,lee,,lee,
"""Yeah. I mean if it's all right with you.",427.6,arthur,,arthur,
I'll only stay a minute.,430.9,arthur,,arthur,
I'd just like to sit down somewhere and—I don't know.,432.2,arthur,,arthur,
"Would it be all right?""",436.2,arthur,,arthur,
"""Yeah, uh,",437.1,lee,,lee,
"but the point is I don't think you should, Arthur,"" the gray-haired man said, lowering his hand from his head.",438.6,lee,,lee,3
"""I mean you're, you're more than welcome to come,",445.5,lee,,lee,
but I honestly think you should just sit tight and relax till Joanie waltzes in.,448.8,lee,,lee,
"What you want to be, you want to be right there on the spot when she waltzes in.",454,lee,,lee,
"Am I right, or not?""",460.3,lee,,lee,
"""Yeah. I don't know. I swear to God, I don't know.""",462.4,arthur,,arthur,
"""Well, I do, I honestly do,"" the gray-haired man said.",467.2,lee,,lee,
"""Look. Why don't you hop in bed now, and relax, and then later, if you feel like it, give me a ring. I mean if you feel like talking.",471.1,lee,,lee,
And don't worry. That's the main thing. Hear me?,478.6,lee,,lee,
"Will you do that now?""",482,lee,,lee,
"""All right.""",483.4,arthur,,arthur,
